ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2403177,KOOLMORE,FLW-3CWH,,810019862946,Front Load,,None,Residential,2.7,,23.4,,2.76,1.84,75,3.2,4.7,2549,,,,,,,,,No,,,,,,08/09/2022,10/18/2022,United States,ES_1147715_FLW-3CWH_101820221029446_5748538,No
2403176,KOOLMORE,FLW-5CWH,,810019862854,Front Load,,None,Residential,4.6,,27.0,,2.76,1.84,110,3.2,4.7,4305,,,,,,,,,No,,,,,,08/09/2022,10/18/2022,United States,ES_1147715_FLW-5CWH_101820221051330_7129094,No
2406186,LG,SWWE50*3,,195174054413,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_SWWE50*3_12232022024145_80153533,12/22/2022,12/20/2022,"United States, Canada",ES_1118034_SWWE50*3_12202022042200_80153530,No
2683790,LG,SWWE50*4,,195174070970;195174073704,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,No,,10/16/2023,10/16/2023,"United States, Canada",ES_1118034_SWWE50*4_10162023164039_80186373,No
2406187,LG,SWWG50*3,,195174054420,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_SWWG50*3_12232022024145_80153533,12/22/2022,12/20/2022,"United States, Canada",ES_1118034_SWWG50*3_12202022042200_80153530,No
2683791,LG,SWWG50*4,,195174070987,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,No,,10/16/2023,10/16/2023,"United States, Canada",ES_1118034_SWWG50*4_10162023164036_80186373,No
2371054,LG,WKE100H*A,,048231029353;048231029360;772454074189;772454074196,Front Load,Laundry Center,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,Yes,ES_1118034_WKE100H*A_12232020105737_80067043,12/21/2020,12/18/2020,"United States, Canada",ES_1118034_WKE100H*A_12182020052311_80067043,No
2361588,LG,WKEX200H*A,,048231028462;048231028486;772454073670;772454073687,Front Load,Laundry Center,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3867,,,,,,,,,No,,,,Yes,ES_1118034_WKEX200H*A_06122020035411_80046329,06/19/2020,06/12/2020,United States,ES_1118034_WKEX200H*A_06122020035054_80046328,No
2406184,LG,WKEX300H*A,,195174048481,Front Load,Laundry Center,None,Residential,5,,27.0,,2.92,1.84,99,2.9,4.7,4278,,,,,,,,,No,,,,Yes,ES_1118034_WKEX300H*A_12232022024145_80153533,12/22/2022,12/20/2022,"United States, Canada",ES_1118034_WKEX300H*A_12202022042200_80153530,No
2371055,LG,WKG101H*A,,048231029377;048231029384,Front Load,Laundry Center,None,Residential,4.5,,27.0,,2.92,1.84,105,2.9,4.7,3841,,,,,,,,,No,,,,Yes,ES_1118034_WKG101H*A_12232020105737_80067043,12/21/2020,12/18/2020,"United States, Canada",ES_1118034_WKG101H*A     _12182020052311_80067043,No
